design_id,title,slug,teepublic_url,image_url,description,tags,artist,collection,product_types,niche,secondary_niche,recipient,occasion,style,theme,primary_keyword,secondary_keyword,long_tail_keyword,seo_title,h1,meta_description,image_alt,canonical_url,breadcrumbs,content_cluster,pillar_page,jsonld_type,scrape_timestamp
94083349,Detecting The Unexplained - Squatch Signal Analysis T-Shirt,detecting-the-unexplained-squatch-signal-analysis,https://www.teepublic.com/t-shirt/94083349-detecting-the-unexplained-squatch-signal-analysis,"https://images.teepublic.com/derived/production/designs/94083349_0/1781446713/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","Isolate the signal from the forest noise. Plotted on a custom-designed mathematical application using Fourier Transform epicycles, this warm amber wireframe design mimics vintage oscilloscopes and vector displays. Perfect for DSP (digital signal processing) engineers, radar analysts, and telecommunications professionals.","dsp, engineering, fourier transform, geek, math humor, math teacher, oscilloscope, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,Engineer,Math,,Everyday,Retro Vintage,Sasquatch signal analysis with vintage oscilloscope design,Sasquatch Signal Analysis,DSP Engineering,Fourier Transform Squatch Signal Analysis T-Shirt,Squatch Signal Analysis T-Shirt - DSP Engineering,Detecting The Unexplained - Squatch Signal Analysis,Isolate the signal from the forest noise with this unique Squatch Signal Analysis T-Shirt. Features a vintage oscilloscope design perfect for DSP engineers.,Squatch Signal Analysis T-Shirt with vintage oscilloscope wireframe design,/designs/squatch-signal-analysis-t-shirt,,,,Product,2026-08-01T18:28:37.488790
94083111,No Mystery At All - Just An Outlier Bigfoot T-Shirt,no-mystery-at-all-just-an-outlier-bigfoot,https://www.teepublic.com/t-shirt/94083111-no-mystery-at-all-just-an-outlier-bigfoot,"https://images.teepublic.com/derived/production/designs/94083111_4/1781514417/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","He is not a legendary cryptid, just a highly anomalous data point. Plotted on a custom-designed mathematical application using Fourier Transform epicycles, this vibrant red-to-green gradient Bigfoot design is made for statisticians, data scientists, researchers, and math teachers who love a good outlier joke.","analyst, data science, engineering, fourier transform, geek, math humor, math pun, math teacher, outlier, physics, sasquatch, statistics",The Black Panther,View More By This Artist,T-Shirt,Math,Physics,,Everyday,Funny Text,Bigfoot as a statistical outlier joke,Bigfoot T-Shirt,Data Science Humor,Bigfoot outlier math joke t-shirt,Bigfoot Outlier Math Joke T-Shirt,No Mystery At All - Just An Outlier Bigfoot T-Shirt,Funny Bigfoot t-shirt for statisticians & data scientists. Features an outlier Bigfoot plotted with Fourier Transform epicycles. Perfect math humor gift!,Bigfoot outlier statistical joke t-shirt design,/designs/outlier-bigfoot-math-joke-tshirt,,,,Product,2026-08-01T18:28:48.632720
94197886,Fourier Transform Brachiosaurus - Math Dinosaur T-Shirt,fourier-transform-brachiosaurus-math-dinosaur,https://www.teepublic.com/t-shirt/94197886-fourier-transform-brachiosaurus-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94197886_0/1781614937/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_63_0_x626,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Brachiosaurus outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","brachiosaurus, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,animals,,Everyday,,Mathematical Brachiosaurus Art,Fourier Transform Dinosaur,Math Brachiosaurus,Fourier transform math dinosaur t-shirt,Fourier Transform Brachiosaurus Math Dinosaur T-Shirt,Fourier Transform Brachiosaurus Dinosaur T-Shirt,"Unique Brachiosaurus design created with authentic Fourier Transform math equations. Perfect for science, math, and dinosaur lovers.","Brachiosaurus dinosaur outline created using Fourier Transform math equations, with neon green details.",/designs/fourier-transform-brachiosaurus-math-dinosaur-t-shirt,,,,Product,2026-08-01T18:29:00.113683
94032101,Bigfoot Drawn with Math: Fourier Transform 3D Glitch T-Shirt,bigfoot-drawn-with-math-fourier-transform-3d-glitc,https://www.teepublic.com/t-shirt/94032101-bigfoot-drawn-with-math-fourier-transform-3d-glitc,"https://images.teepublic.com/derived/production/designs/94032101_0/1781346309/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_37_0_x626,s_630,q_90.jpg","A retro 3D anaglyph and chromatic aberration glitch Bigfoot design that is 100% drawn and traced using mathematical equations, specifically Fourier Transform math formulas that plot the lines to create the artwork. The cyan and magenta shifting outlines visualize the complex mathematics used to draw Sasquatch. Perfect for math teachers, physics students, programmers, and anyone who loves geeky, science-themed apparel with a cool retro 3D glasses glitch aesthetic.","bigfoot, 3d glasses, cryptid, engineering, fourier transform, glitch art, math, math teacher, mathematics, physics, sasquatch, science, stem",The Black Panther,View More By This Artist,T-Shirt,Math,Physics,,Everyday,Retro Vintage,"Bigfoot cryptid art created with Fourier Transform math equations, featuring a 3D glitch aesthetic.",Fourier Transform Art,Glitch Bigfoot,Bigfoot drawn with math Fourier Transform glitch art,Fourier Transform Bigfoot Glitch Art T-Shirt,Bigfoot Fourier Transform Glitch Art T-Shirt,Unique Bigfoot design using Fourier Transform math equations for a retro 3D glitch effect. Perfect for math and science lovers.,"Bigfoot illustration created with Fourier Transform math, featuring a 3D anaglyph and chromatic aberration glitch effect.",/designs/bigfoot-fourier-transform-glitch-art-tshirt,,,,Product,2026-08-01T18:29:22.285123
94198235,Fourier Transform Triceratops - Math Dinosaur T-Shirt,fourier-transform-triceratops-math-dinosaur,https://www.teepublic.com/t-shirt/94198235-fourier-transform-triceratops-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94198235_0/1781615464/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Triceratops outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","triceratops, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,Dinosaur,Math,,Everyday,,Mathematical dinosaur art for science and STEM enthusiasts,Math dinosaur t-shirt,Fourier transform triceratops,Unique Fourier transform dinosaur t-shirt,Fourier Transform Triceratops - Math Dinosaur T-Shirt,Fourier Transform Triceratops - Math Dinosaur Design,"Explore the unique Fourier Transform Triceratops design! This math dinosaur t-shirt features authentic mathematical plotting, perfect for science, STEM, and paleontology enthusiasts. A truly geeky and original piece.",Green Fourier Transform Triceratops math dinosaur t-shirt design,/designs/fourier-transform-triceratops-math-dinosaur-tshirt,,,,Product,2026-08-01T18:29:33.986086
94083920,Leaving No Footprints - Frequency Signatures (Cyan) T-Shirt,leaving-no-footprints-frequency-signatures-cyan,https://www.teepublic.com/t-shirt/94083920-leaving-no-footprints-frequency-signatures-cyan,"https://images.teepublic.com/derived/production/designs/94083920_0/1781447373/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","In the mathematical universe, Bigfoot leaves no physical tracks, only a distinct frequency signature. Plotted on a custom-designed application using Fourier Transform epicycles, this vibrant cyan/teal wireframe features a clean, holographic blueprint style. An ideal design for electrical engineers, RF analysts, and physics lovers.","fourier transform, electrical engineer, engineering, geek, math humor, math pun, math teacher, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,science,professions,,Everyday,,Mathematical Bigfoot Frequency Signature,Fourier Transform T-Shirt,Electrical Engineer Gift,Funny math physics engineer Bigfoot t-shirt,Fourier Transform Bigfoot T-Shirt - Math & Physics Engineer Gift,Leaving No Footprints: Fourier Transform Bigfoot T-Shirt,"Explore the mathematical universe with our unique Bigfoot frequency signature t-shirt. Perfect for electrical engineers, physics lovers, and math geeks. Features a vibrant cyan wireframe design.",Cyan wireframe design of Bigfoot's frequency signature on a t-shirt,/designs/fourier-transform-bigfoot-tshirt,,,,Product,2026-08-01T18:29:51.141221
94032347,Bigfoot Drawn with Math: Fourier Transform Red Glow T-Shirt,bigfoot-drawn-with-math-fourier-transform-red-glow,https://www.teepublic.com/t-shirt/94032347-bigfoot-drawn-with-math-fourier-transform-red-glow,"https://images.teepublic.com/derived/production/designs/94032347_0/1781346690/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_37_0_x626,s_630,q_90.jpg","A glowing neon red Bigfoot design that is 100% drawn and traced using mathematical equations, specifically Fourier Transform math formulas that plot the lines to create the artwork. The vibrant red nodes and epicycles visualize the complex mathematics used to draw Sasquatch. Perfect for math teachers, physics students, programmers, and anyone who loves geeky, science-themed apparel with a striking red hot laser aesthetic.","bigfoot, cryptid, engineering, fourier transform, math, math teacher, mathematics, neon, physics, red, sasquatch, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,professions,,Everyday,,Mathematical Bigfoot art with a red neon glow,Bigfoot Fourier Transform,Math Teacher Gift,Red neon Bigfoot shirt drawn with Fourier Transform math,Bigfoot Fourier Transform Math Red Glow T-Shirt | Science Geek,Mathematical Bigfoot: Fourier Transform Red Glow T-Shirt,"Discover our unique Bigfoot design, 100% drawn with Fourier Transform math equations. Features a vibrant red neon glow, perfect for math teachers, physics students, and science geeks. Get your geeky Sasquatch apparel today!",Red neon Bigfoot design drawn with Fourier Transform math equations,/designs/bigfoot-fourier-transform-math-red-glow-shirt,,,,Product,2026-08-01T18:30:38.756209
94082388,Bigfoot Is Imaginary - Math Makes Him Real T-Shirt,bigfoot-is-imaginary-math-makes-him-real,https://www.teepublic.com/t-shirt/94082388-bigfoot-is-imaginary-math-makes-him-real,"https://images.teepublic.com/derived/production/designs/94082388_0/1781445536/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","A clever math pun playing on real and imaginary numbers. This green-to-blue gradient Bigfoot was plotted using Fourier Transform epicycles on a custom-designed mathematical application. An ideal design for math majors, physicists, and engineers who know that complex math makes the imaginary real.","algebra, calculus, engineering, fourier transform, geek, math humor, math pun, math teacher, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,science,professions,,Everyday,Funny Text,Bigfoot math pun about imaginary numbers,Bigfoot Math Pun Shirt,Imaginary Numbers T-Shirt,Funny Bigfoot math shirt for engineers and physicists,Bigfoot Imaginary Math Pun T-Shirt | Science Humor Gift,Bigfoot Is Imaginary - Math Makes Him Real T-Shirt,"A clever math pun on real & imaginary numbers featuring a Fourier Transform Bigfoot. Perfect for math majors, physicists, & engineers who love complex math humor.","Green-to-blue gradient Bigfoot design, plotted with Fourier Transform epicycles, illustrating a math pun about imaginary numbers.",/designs/bigfoot-imaginary-math-real-shirt,,,,Product,2026-08-01T18:30:59.260049
94199749,Fourier Transform Deinonychus - Math Dinosaur T-Shirt,fourier-transform-deinonychus-math-dinosaur,https://www.teepublic.com/t-shirt/94199749-fourier-transform-deinonychus-math-dinosaur,"https://images.teepublic.com/derived/production/designs/94199749_0/1781617398/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_52_0_x626,s_630,q_90.jpg","This design was created using a custom-coded application programmed to trace the Deinonychus outline using Fourier transform math. Rather than a standard text-to-image AI generation, this piece features authentic mathematical plotting, with the body details filled in using the actual FFT equations from the process.","deinonychus, dinosaur, fourier transform, geek, green, math, mathematics, neon, nerd, paleontology, physics, science, stem",The Black Panther,View More By This Artist,T-Shirt,science,animals,,Everyday,,Mathematical Fourier Transform dinosaur design,Fourier Transform Dinosaur,Math Deinonychus Shirt,fourier transform dinosaur t-shirt for math lovers,Fourier Transform Deinonychus Math Dinosaur T-Shirt,Fourier Transform Deinonychus - Math Dinosaur T-Shirt,"Unique Fourier Transform Deinonychus T-shirt. Math dinosaur design with authentic FFT equations. Perfect for science geeks, nerds, and paleontology fans.",Green neon Fourier Transform Deinonychus dinosaur graphic t-shirt,/designs/fourier-transform-deinonychus-math-dinosaur-t-shirt,,,,Product,2026-08-01T18:31:26.761156
94083765,Hidden In The Noise - Revealed In The Frequency Bigfoot T-Shirt,hidden-in-the-noise-revealed-in-the-frequency-bigf,https://www.teepublic.com/t-shirt/94083765-hidden-in-the-noise-revealed-in-the-frequency-bigf,"https://images.teepublic.com/derived/production/designs/94083765_0/1781447201/i_m:bi_production_blanks_mtl53ofohwq5goqjo9ke_1462829015,c_0_0_470x,s_630,q_90.jpg","Filter out the background noise to reveal the legend. Plotted on a custom-designed application using Fourier Transform epicycles, this vibrant blue-to-magenta gradient Bigfoot represents finding a clear signal in a noisy system. A perfect design for acoustical engineers, data analysts, and signal processing professionals.","engineering, fourier transform, geek, math humor, math pun, math teacher, physics, sasquatch, stem, wireframe",The Black Panther,View More By This Artist,T-Shirt,Engineer,Physics,,Everyday,Funny Text,Bigfoot revealed by Fourier Transform for engineers and scientists,Bigfoot Fourier Transform,Signal Processing Engineer,Bigfoot Fourier Transform t-shirt for engineers,Bigfoot Fourier Transform T-Shirt | Engineer Math Physics Gift,Hidden In The Noise: Bigfoot Fourier Transform T-Shirt,"Filter noise to reveal the legend! This unique Bigfoot Fourier Transform T-shirt is perfect for acoustical engineers, data analysts, and signal processing pros. A geeky math & physics gift.","Blue-to-magenta gradient Bigfoot design created with Fourier Transform epicycles, representing signal processing.",/designs/bigfoot-fourier-transform-engineer-shirt,,,,Product,2026-08-01T18:31:45.058264
